name,group,Amazon,Buy.com,HSN,JCP,Macy's,Odotco,QVC,Sears,Target,Walmart
Gift Card Balance,Other,0.864986648,0.771844907,0.971220174,0.925002068,1,1,0.65,0.7,0.831923875,0.8
Goodrich,Automotive,0.794105607,0.809536106,0.76,0.65,0.76,0.909676848,0.65,0.916650649,1,0.8
Graco Ally Collection Bundle,Baby,1,0.55,0.886945627,0.990339003,0.76,0.76,1,0.7,0.902227973,0.979957409
Graco Portland 5 Drawer In Espresso,Home & Kitchen,1,0.55,0.76,0.65,0.76,0.76,0.926302486,0.953054858,1,0.961770066
Hoover Platinum Bagged Vacuum UH30010COM,Home & Kitchen,0.921331326,0.748986778,1,0.987092567,0.76,0.76,1,0.878907131,0.984509927,0.958748914
Inflatable Screen,Electronics,0.958287681,0.769801596,0.76,1,0.76,0.76,0.65,0.926964208,0.987676915,1
Ipod Classic,Electronics,0.96849237,0.774729483,0.76,0.834071895,0.76,0.920630185,0.94826593,0.994420745,0.989794693,0.996112118
Ipod Touch Accessory,Electronics,0.984511656,0.877834148,0.96075201,0.997418519,0.76,0.98329266,0.94083989,0.984813829,0.956865798,0.980165028
Jacket,Clothing,0.815866525,0.734356721,0.9827238,0.976633783,0.977995287,0.990205854,0.950454967,0.94307568,0.751439014,0.985098804
Jvc Boombox,Electronics,0.975393885,0.893168575,0.76,1,0.76,1,0.65,0.7,0.65,0.8
Kids Bedding,Home & Kitchen,0.848287026,0.762635318,1,0.983421196,0.988275148,0.911473141,0.777749775,0.951673903,0.98226907,0.996823986
l.e.i.,Clothing,0.867162296,0.812022232,1,0.65,0.972709412,0.76,0.65,0.824605855,0.912694149,0.983149291
Leave It To Beaver,Movies & Tv,0.998008365,0.92860343,1,1,0.76,0.991459352,1,0.993722888,0.998196768,0.987739979
Logitech 350,Electronics,0.975460975,0.935871038,0.76,0.65,0.76,1,0.65,0.950155056,0.65,1
Mainstays Modular Storage,Home & Kitchen,0.6,0.55,0.76,0.947743311,0.76,0.76,0.875526224,0.971287936,0.972568258,0.938378071
Mattress Pad For Changing Table,Baby,0.942426189,0.905527358,0.76,0.65,0.76,0.76,0.897602022,0.984751047,0.888583187,0.943017466
Mens Thermal Pants,Clothing,0.94621507,0.931616957,0.76,0.958415529,1,0.999509152,0.988867019,0.98500624,0.936186324,0.963215443
Mickey Mouse In The House,Baby,0.833709345,0.824285812,1,0.974012481,0.865668669,0.960523641,0.879121859,0.848562651,0.959355221,0.991293113
Microsoft Publisher 2010,Computers,0.916459966,0.916338819,1,0.865985286,0.76,0.995491814,0.948556091,0.993972052,1,0.976272237
Microwave,Home & Kitchen,0.856110505,0.683125995,1,0.914946743,0.98262067,1,0.998668508,1,0.918030643,1
NBA 2K11,Electronics,0.938779354,0.891796142,0.76,0.873233286,0.76,0.90649537,1,0.818153544,0.949340645,0.922184877
Netbook Pc With Intel,Computers,0.989540945,0.794140481,0.83794544,0.765192833,0.76,0.920703209,1,0.986592654,0.934969439,0.991851066
Nintendo Dsi Deluxe Starter Kit,Electronics,0.958838489,0.931462235,0.897901412,1,0.76,0.76,1,0.979229554,0.785180218,0.986548719
Notebooks Computer,Computers,0.877421421,0.749921423,0.902211925,0.89994921,0.76,0.832304163,0.868159287,0.983554053,0.863760743,0.957040478
Ottomans,Home & Kitchen,0.848297929,0.833332342,0.981787862,0.999687839,0.82130737,0.949343537,0.967836206,0.992774256,0.98256197,0.952917174
Patio Swing Cover,Sports & Outdoors,0.977737089,0.794714099,0.972732048,0.983326529,0.76,1,0.928597442,0.995788881,1,0.974314578
Picnic Table,Sports & Outdoors,0.990036804,0.778158776,1,1,0.76,0.933143103,0.96615067,0.997875859,0.958610289,0.979130386
Ping Pong Table,Sports & Outdoors,0.893176192,0.80818127,0.76,0.886768051,0.76,0.971750748,0.65,0.7,1,0.978325558
Pink Pillow,Home & Kitchen,0.953895235,0.865797333,0.960892989,0.784792138,0.879834963,0.839478474,0.977664214,0.97887758,0.824792437,0.881192791
Planet 3 Articulating Wall Mount,Electronics,0.994060193,0.55,0.76,0.65,0.76,0.76,1,0.934429138,0.978411912,0.981192941
Platform Beds,Home & Kitchen,0.992441058,0.924878228,0.992787074,0.994247043,0.91045826,1,0.992055826,0.987652799,1,0.996158949
Play Yard,Sports & Outdoors,0.954370009,0.761684033,0.76,0.923191473,0.76,0.907706443,0.65,0.97811525,0.900747471,0.959691949
Playhouses & Furniture,Sports & Outdoors,0.947523299,0.769004726,0.76,0.984568966,1,0.943306535,0.877462489,0.962242057,0.65,0.972509885
Pressure Monitor,Health & Personal Care,0.960331578,0.923583512,0.986878552,0.80712683,0.76,0.977195293,0.983857324,0.994970167,0.976709663,0.99327494
PRS-600,Electronics,0.974586806,0.801543987,0.76,0.65,0.76,1,1,0.946758529,0.65,1
Purple Curtain Panel,Home & Kitchen,0.964012385,0.94942399,0.903696422,0.916820801,0.951737716,0.933223687,0.908007217,0.982869855,0.908016098,0.964918098
Recumbent Bike,Sports & Outdoors,0.984004097,0.875580155,0.973518181,1,0.76,0.991753528,0.984050445,0.983088661,0.889844115,0.981152508
Roxanne,Movies & Tv,0.935062183,0.728615881,0.76,0.65,0.973991829,0.854695274,0.65,0.776998421,0.938605365,0.956057661
Samsung T369,Electronics,0.993962905,0.903513168,0.76,0.65,0.76,0.76,0.65,0.7,0.65,1
Save For Later,Other,0.809138365,0.942158006,1,1,0.76,1,0.952591893,0.973019051,1,1
Scanners,Electronics,0.835557937,0.86567339,0.961251187,1,0.76,0.803005466,0.898230482,0.939382357,0.957710836,0.954193953
Scooby Doo Costume,Clothing,0.993195213,0.930580533,0.948869605,1,0.76,1,0.945270737,0.748003825,0.98771694,0.96187055
SDHC 2-GB Memory Card,Electronics,0.897002083,0.821201545,0.888780254,0.65,0.76,0.937711063,1,0.837802548,0.894678503,0.978018086
Shower Curtains,Home & Kitchen,0.832561412,0.865000565,0.826892579,0.97796213,0.895722765,0.998101229,1,0.999610022,1,0.991826375
Sleeper Loveseat,Home & Kitchen,0.964660005,0.837923426,0.76,1,0.937088539,0.988182322,0.65,0.936978934,1,0.993359204
Smoker,Sports & Outdoors,0.850632513,0.791332398,1,1,0.979802653,0.835435391,0.930720818,0.962259699,0.867217913,0.967044773
Spongebob Squarepants,Movies & Tv,0.954645865,0.908476279,1,0.99751678,1,0.990404058,0.943038275,0.969005105,0.882740189,0.952619323
Storage Bins,Home & Kitchen,0.791432665,0.846692418,0.920284155,1,0.971294334,0.950459709,0.989261666,0.976432751,0.960785061,0.987730135
Stroller,Baby,0.855573851,0.732190056,0.76,0.999314501,1,1,1,0.988586726,0.861435856,0.959185507
Sweet Nothings,Clothing,0.970267782,0.887941306,1,0.90584613,1,0.809093009,1,0.936526306,0.872734459,0.98956717
Task Chair,Home & Kitchen,0.974681938,0.917747666,0.76,0.909561029,0.76,0.99332973,1,0.986408982,0.995116562,0.99914783
Three Wheel Bicycles,Sports & Outdoors,0.937541866,0.905267282,0.830316674,0.911385737,0.76,0.82088564,1,0.888280897,0.976550736,0.932041556
Toddler Helmet And Pads,Sports & Outdoors,0.966112245,0.933545226,0.944516795,0.939894585,0.76,0.76,0.853392725,0.995635885,0.967275072,1
Tombstone,Movies & Tv,0.941210709,0.838830101,1,0.65,0.76,0.907475429,0.955825769,0.899465759,0.828991423,0.944748858
Tube TV,Electronics,0.849151128,0.720561422,1,0.888103893,1,0.968819333,0.997178521,0.829792381,1,0.860421829
Tv Wall Mounts,Electronics,0.968809716,0.901370759,0.990308247,1,0.76,0.992338893,0.99332973,0.991611562,0.98280876,0.990610842
University Of Kentucky Apparal,Clothing,0.962746809,0.870581563,0.860568577,0.9705303,0.76,0.76,0.981263752,0.876062461,0.968910173,0.896609279
Utility Cart,Home & Kitchen,0.984846207,0.907265181,0.992900811,1,1,0.996698969,0.999495753,0.993803386,0.928390412,0.980108511
Vcr Player,Electronics,0.924600412,0.713226188,1,0.73415618,0.76,0.976786095,1,0.957189743,0.70526044,0.956873613
Wagons,Sports & Outdoors,0.940828611,0.918846434,0.954963951,0.977858983,0.76,0.845419662,1,0.95540604,0.986124117,0.980537843
Wicker Baskets,Home & Kitchen,0.976129048,0.848903294,0.956840953,1,1,0.922739741,0.848744309,0.964789886,0.947759019,0.963050303
Wii Controller-Black,Electronics,0.992729057,0.912357944,0.76,0.938918685,0.76,0.911407162,1,0.926911244,0.98700203,1
Wii Mario,Electronics,0.984984093,0.899948954,0.953396917,0.926014862,0.76,0.919367103,0.997644493,0.944574103,0.971026276,0.99061019
Window Panels,Home & Kitchen,0.83831846,0.884243977,0.979311389,0.956919009,0.851749553,0.976606093,1,0.95769061,0.942161369,0.92869218
Women Shoes,Clothing,0.834845137,0.866721988,0.944018138,0.984993878,0.983812347,0.992569729,0.99090455,0.973496458,0.65,0.986490291
Women'S Halloween Costumes,Clothing,0.980611065,0.875699618,1,0.986268092,0.76,0.985750065,0.99189902,0.994091141,0.925413727,0.998762783
Zuma Travel Car Seat,Baby,0.6,0.55,0.925324604,0.974848738,0.76,0.76,0.981864509,0.7,0.823328569,0.956834813
